student_id,gender,study_hours,attendance_percent,previous_score,assignments_completed,sleep_hours,internet_hours,extracurricular_activity,study_method,parent_education,internet_access,final_score
STU12082,Male,6.27,87.6,82.5,5,7.19,,,Online Course,Postgraduate,No,100.0
STU10434,Female,1.84,90.7,82.3,7,8.33,2.19,None,Self Study,,No,100.0
STU11725,,7.75,69.7,74.4,8,7.32,2.12,None,Coaching,College,Yes,100.0
STU11252,Male,8.53,70.4,,2,5.75,2.59,Sports,Coaching,College,Yes,100.0
STU10094,Male,5.34,86.6,68.0,4,7.5,1.26,Sports,Self Study,Postgraduate,Yes,100.0
STU10903,Female,5.21,69.4,65.7,5,7.88,3.11,Volunteering,Self Study,Postgraduate,Yes,100.0
STU12055,Male,6.23,99.4,80.6,5,8.72,1.42,Sports,Self Study,School,Yes,100.0
STU11230,Female,6.63,81.0,66.2,5,9.95,4.64,Clubs,Online Course,Postgraduate,Yes,100.0
STU10768,Male,4.39,77.5,91.1,5,7.83,4.01,Sports,Self Study,College,Yes,100.0
STU10600,Male,1.95,85.1,,10,7.43,2.59,Music,Online Course,College,Yes,100.0
STU11863,Female,8.33,73.6,89.7,9,4.88,4.45,Music,Self Study,College,Yes,100.0
STU11607,Female,6.52,49.0,66.0,5,7.17,2.26,Volunteering,Online Course,Postgraduate,Yes,100.0
STU10355,Female,7.64,68.1,67.9,2,6.66,0.53,,Self Study,College,Yes,100.0
STU10369,Female,5.9,78.8,68.1,10,6.68,1.32,Music,Self Study,Postgraduate,Yes,100.0
STU11946,Female,1.89,65.1,84.8,5,7.85,2.02,Clubs,Online Course,School,Yes,93.9
STU10671,Female,7.07,90.8,60.2,4,6.13,,None,Online Course,School,Yes,100.0
STU10974,Male,6.73,84.6,67.3,6,8.69,3.58,Clubs,Self Study,College,Yes,100.0
STU12363,Male,4.8,86.0,61.5,6,6.51,3.56,Sports,Self Study,College,Yes,100.0
STU11939,Male,4.15,,65.3,3,,3.03,Sports,Coaching,School,Yes,84.9
STU11166,Male,3.78,59.0,75.7,5,7.09,3.01,None,Self Study,College,Yes,96.7
STU11195,Male,9.37,93.4,61.6,7,5.87,3.67,None,Online Course,School,Yes,100.0
STU10415,Female,4.93,82.3,87.1,10,4.85,2.02,Clubs,Self Study,Postgraduate,Yes,100.0
STU10868,Male,4.69,74.6,86.5,5,6.9,6.0,Sports,Coaching,College,Yes,100.0
STU11300,Female,3.57,77.4,60.2,9,5.09,3.96,Clubs,Online Course,School,No,93.2
STU11899,Male,4.6,65.8,53.5,7,8.16,3.76,None,Coaching,Postgraduate,Yes,99.6
STU11086,Male,4.68,100.0,48.8,7,7.14,2.29,Volunteering,Coaching,College,Yes,100.0
STU12043,Male,9.33,55.8,37.9,7,7.77,3.99,Sports,Online Course,School,Yes,100.0
STU11451,Male,4.85,69.3,79.2,5,7.5,1.44,Music,Online Course,School,Yes,100.0
STU10169,Female,5.19,77.8,82.2,4,8.07,4.33,Sports,Online Course,School,Yes,100.0
STU11613,Other,5.41,70.3,67.1,2,8.02,1.38,Sports,Group Study,School,Yes,100.0
STU12354,Male,5.9,56.9,68.8,7,7.9,5.96,Sports,Online Course,Postgraduate,Yes,100.0
STU10260,Male,2.75,88.5,71.3,6,4.31,4.12,Music,Self Study,School,Yes,95.5
STU10176,Female,5.85,82.4,65.4,8,7.68,2.91,Volunteering,Online Course,College,Yes,100.0
STU12378,Female,4.1,84.9,41.8,4,7.99,3.16,Sports,Self Study,School,Yes,95.0
STU12191,Male,6.95,91.3,60.6,7,5.93,7.87,Clubs,Online Course,College,Yes,100.0
STU11304,Male,7.01,81.6,52.9,5,7.72,,Music,Group Study,School,,100.0
STU10212,Male,2.85,86.5,78.4,3,5.59,4.93,Clubs,Group Study,College,Yes,100.0
STU12370,Female,7.08,79.1,77.1,9,8.39,4.29,Clubs,Online Course,College,Yes,100.0
STU11489,,6.16,92.4,57.2,3,7.02,1.88,Clubs,Coaching,Postgraduate,Yes,100.0
STU11579,Female,1.07,73.3,45.6,6,6.37,2.44,Sports,Self Study,College,Yes,98.3
STU10411,Female,2.54,72.2,78.9,5,,4.79,None,Group Study,College,Yes,100.0
STU10618,Male,5.98,76.2,66.6,5,6.81,2.73,None,Online Course,,Yes,100.0
STU11993,Male,5.96,69.2,64.1,4,7.95,0.79,Clubs,Online Course,College,Yes,98.0
STU10680,Female,5.17,82.6,79.9,5,5.12,0.27,Music,Self Study,College,Yes,100.0
STU12464,Male,3.12,72.1,56.8,9,6.28,2.69,Sports,Online Course,College,Yes,100.0
STU11845,Female,2.88,71.3,63.4,9,6.55,2.41,None,Online Course,School,Yes,96.1
STU10773,Male,6.01,75.9,67.2,5,4.58,2.94,None,Online Course,School,Yes,98.3
STU11091,Male,4.31,77.4,71.1,7,6.67,1.77,Volunteering,Online Course,College,Yes,100.0
STU12019,Male,6.66,74.5,56.7,3,5.69,3.91,None,Self Study,College,Yes,100.0
STU11084,Female,5.62,77.3,52.6,10,5.2,4.18,Sports,Self Study,School,Yes,100.0
STU11381,Male,7.95,72.1,62.5,3,6.54,1.64,Volunteering,Self Study,College,Yes,100.0
STU10057,Female,4.95,52.8,64.2,8,6.61,3.18,None,Online Course,School,Yes,92.8
STU11101,Female,7.76,89.6,63.5,4,5.29,3.95,None,Self Study,School,,100.0
STU12052,Female,3.05,,92.7,9,6.75,4.92,Clubs,Self Study,School,Yes,100.0
STU10322,Female,5.12,81.6,46.6,4,6.12,4.82,Clubs,Coaching,College,Yes,100.0
STU12038,Female,7.49,81.6,56.5,5,6.42,1.44,Sports,Self Study,Postgraduate,Yes,100.0
STU10783,Female,9.1,71.3,51.4,6,7.37,3.55,Music,Coaching,College,Yes,100.0
STU11533,Female,7.46,85.0,84.1,4,5.32,3.94,Sports,Self Study,Postgraduate,Yes,100.0
STU11117,Male,7.77,92.3,49.6,5,6.16,,None,Coaching,Postgraduate,Yes,100.0
STU11940,Male,3.9,66.5,66.7,3,6.46,3.76,Music,Self Study,College,Yes,84.1
STU11227,Female,6.96,80.7,67.6,10,3.67,,None,Self Study,College,Yes,100.0
STU10603,Male,8.05,87.4,76.9,9,6.34,,Sports,Self Study,College,Yes,100.0
STU11827,male,7.22,90.5,40.3,9,6.61,2.44,None,Self Study,School,Yes,96.1
STU12329,Female,5.84,140.7645197960965,53.5,3,7.16,3.55,Sports,Online Course,School,Yes,100.0
STU11367,Male,3.25,83.0,92.0,4,7.93,3.21,Clubs,Group Study,Postgraduate,Yes,98.1
STU11125,Female,5.13,77.2,,2,6.32,1.21,Sports,Self Study,Postgraduate,Yes,99.5
STU11936,Female,8.71,88.2,61.9,5,4.07,3.87,Volunteering,Self Study,Postgraduate,Yes,100.0
STU10566,Female,6.98,78.0,75.1,2,5.04,2.63,Clubs,Self Study,College,Yes,100.0
STU12021,Female,5.53,65.3,69.7,6,5.2,3.26,Clubs,Online Course,College,Yes,95.4
STU12449,Female,7.04,77.7,83.9,4,7.06,2.58,None,Online Course,Postgraduate,Yes,100.0
STU10283,Other,,84.0,54.1,5,8.87,4.05,Sports,Online Course,Postgraduate,Yes,100.0
STU11642,Female,6.51,100.0,64.6,4,6.98,0.8,None,Self Study,College,Yes,100.0
STU10325,Male,9.14,78.1,68.3,2,5.87,2.94,Music,Self Study,Postgraduate,Yes,100.0
STU10451,Female,5.24,64.0,65.2,8,6.56,1.97,Volunteering,Self Study,School,Yes,100.0
STU10930,Other,5.65,87.5,70.4,6,8.02,2.18,Volunteering,Online Course,College,Yes,100.0
STU11994,Female,7.43,66.4,68.5,9,8.39,6.15,Sports,Online Course,School,Yes,100.0
STU10247,Female,3.31,90.6,100.0,9,5.66,4.42,Volunteering,Self Study,School,Yes,100.0
STU11176,Female,2.3,100.0,71.4,4,,4.59,,Self Study,College,Yes,87.6
STU10519,Female,7.3,82.5,79.4,8,6.72,0.72,None,Self Study,School,Yes,100.0
STU11996,Female,6.28,61.5,83.2,4,5.84,2.88,Clubs,Coaching,Postgraduate,Yes,100.0
